"","X","id","pname","gender","fname","canonical_fname","oname","born_on_year","begin_on_year","begin_on_month","begin_on_day","end_on_year","end_on_month","end_on_day","nationality"
"40",6234,4936,"Guillaume Théodore Conrad Zwerner",0,"Delegate of a Commission","League of Nations staff","High Commission for Refugees",1883,NA,NA,NA,1924,8,NA,"Swiss"
"41",6239,4936,"Guillaume Théodore Conrad Zwerner",0,"Member of Section","First Division","Refugee Section",1883,1929,1,1,1930,1,1,"Swiss"
"42",6241,4937,"Ignacio J. Valdes",0,"Temporary Collaborator","First Division","Information Section",NA,1931,9,14,1931,10,5,"South American"
"43",6244,4940,"Luis Varela-Obregoso",0,"Temporary Collaborator","First Division","Information Section",NA,1927,8,1,1927,9,30,"South American"
"44",6245,4940,"Luis Varela-Obregoso",0,"Correspondent","Second Division","League of Nations",NA,1927,12,1,1928,11,30,"South American"
"45",6254,4943,"Marc Veillet-Lavallee",0,"League of Nations staff","League of Nations staff","Personnel Office",1901,1931,5,18,1931,11,22,"French"
"46",6258,4947,"Haakon Vigander",0,"Temporary Collaborator","First Division","Information Section",NA,1929,8,26,1929,9,16,"Scandinavian"
"47",6259,4948,"Eugène Henri René  Vigier",0,"Assistant","Second Division","Information Section",1886,1920,3,3,1921,2,18,"French"
"48",6260,4948,"Eugène Henri René  Vigier",0,"Head of Department","First Division","Précis-Writing Department",1886,1921,2,18,1946,8,31,"French"
"49",6261,4948,"Eugène Henri René  Vigier",0,"Head of Department","First Division","Printing & Publishing Department",1886,1921,2,18,1946,8,31,"French"
"50",6262,4948,"Eugène Henri René  Vigier",0,"Member of Section","First Division","Political Section",1886,1927,1,1,NA,NA,NA,"French"
"51",6263,4948,"Eugène Henri René  Vigier",0,"Counsellor","Second Division","Political Section",1886,1931,4,2,NA,NA,NA,"French"
"52",6264,4948,"Eugène Henri René  Vigier",0,"Chief of Section","First Division","Political Section",1886,1938,2,1,1946,8,31,"French"
"53",6265,4948,"Eugène Henri René  Vigier",0,"League of Nations staff","League of Nations staff","Library",1886,1941,1,1,1946,8,31,"French"
"54",6266,4948,"Eugène Henri René  Vigier",0,"Translator","First Division","Translation",1886,1941,1,14,1946,8,31,"French"
"55",6267,4948,"Eugène Henri René  Vigier",0,"Assistant","Second Division","Secretary-General's Office",1886,1942,4,8,1946,8,31,"French"
"56",6280,4950,"Franklin Urteaga",0,"Temporary Collaborator","First Division","Information Section",NA,1938,9,10,1938,10,1,"South American"
"57",6281,4951,"Arturo Uslar-Pietri",0,"Temporary Collaborator","First Division","Information Section",NA,NA,NA,NA,NA,NA,NA,"South American"
"58",6282,4952,"Pierre Achille Louis Eugène Quesnay",0,"Member of Section","First Division","Economic and Financial Section",NA,1923,11,15,1926,12,31,"French"
"59",6285,4955,"John Leslie Palmer",0,"Member of Section","First Division","Précis-Writing Department",NA,1919,1,10,1936,NA,NA,"British"
"60",6286,4955,"John Leslie Palmer",0,"Member of Section","First Division","Social Questions and Opium Traffic Section",NA,1938,NA,NA,1939,3,24,"British"
"61",6287,4955,"John Leslie Palmer",0,"Member of Section","First Division","Information Section",NA,1931,NA,NA,NA,NA,NA,"British"
"62",6288,4955,"John Leslie Palmer",0,"Member of Section","First Division","Disarmament Section",NA,NA,NA,NA,NA,NA,NA,"British"
"63",6296,4963,"Humbert Denis Parodi",0,"Translator","First Division","Translation",NA,NA,NA,NA,NA,NA,NA,"Swiss"
"64",6304,4971,"Prof. Fred Alexander",0,"Temporary Collaborator","First Division","Information Section",NA,1932,9,6,1932,9,24,"British"
"65",6307,4974,"Peter Martin Anker",0,"Member of Section","First Division","Mandates Section",1903,1931,8,1,1939,6,12,"Scandinavian"
"66",6308,4974,"Peter Martin Anker",0,"Member of Section","First Division","Department I (Department of General Affairs)",1903,1939,6,12,1946,7,31,"Scandinavian"
"67",6319,4981,"A. Gordon Bagnall",0,"Temporary Collaborator","First Division","Information Section",NA,1935,6,14,1935,6,20,"British"
"68",6325,4985,"Stanley Hartnoll Bailey",0,"Secretary","First Division","Social Questions and Opium Traffic Section",1904,1938,4,13,1938,4,13,"British"
"69",6331,4990,"Alfonso Bandeira de Mello",1,"Correspondent","Second Division","Brazil Office",NA,1943,6,8,1946,7,31,"South American"
"70",6338,4995,"Michael Barkway",0,"Expert/Specialist","First Division","Radiodiffusion",1911,1937,5,29,1938,6,14,"British"
"71",6339,4996,"Jean Argenta",0,"Temporary Collaborator","First Division","Information Section",NA,1937,9,9,1937,9,30,"French"
"72",6340,4966,"Geraldo Horacio de Paula Souza",0,"Member of Section","First Division","Health Section",NA,1928,1,1,1929,12,31,"South American"
"73",6343,5001,"Gaston Barreto",0,"Temporary Collaborator","First Division","Information Section",1900,1938,1,31,1939,2,28,"South American"
"74",6350,11396,"Ada Catherine Harcourt",1,"Shorthand Typist","Second Division","Pool",1907,1946,4,6,1946,4,18,"British"
"75",6351,11396,"Ada Catherine Harcourt",1,"Shorthand Typist","Second Division","Pool",1907,1946,7,1,1946,7,31,"British"
"76",6352,5005,"Vernon Bartlett",0,"Head of Section","First Division","London Office",1894,1922,11,1,1932,10,31,"British"
"77",6353,5006,"S. B. McElderry",0,"Expert/Specialist","First Division","Social Questions and Opium Traffic Section",NA,1922,3,15,1922,6,15,"British"
"78",6359,5010,"Hugh McKinnon Wood",0,"Member of Section","First Division","Legal Section",1884,1920,11,1,NA,NA,NA,"British"
"79",6360,5010,"Hugh McKinnon Wood",0,"Counsellor","Second Division","Legal Section",1884,1931,1,1,NA,NA,NA,"British"
"80",6361,5010,"Hugh McKinnon Wood",0,"Head of Section","First Division","Legal Section",1884,1939,9,11,1940,7,3,"British"
"81",6363,5012,"Maurice Edward Marie Baumont",0,"Member of Section","First Division","Deputy Secretary-General's Office",1892,1927,3,1,1931,1,1,"French"
"82",6364,5012,"Maurice Edward Marie Baumont",0,"Member of Section","First Division","Economic and Financial Section",1892,1931,1,1,1930,1,31,"French"
"83",6371,5017,"J. Auriol",1,"Temporary Collaborator","First Division","Information Section",NA,1929,8,26,1929,9,12,"French"
"84",6389,5031,"Th. C. Terndrup",0,"Temporary Collaborator","First Division","Information Section",NA,1929,8,30,1929,9,6,"Scandinavian"
"85",6393,9729,"Adelaide Hannah King",1,"Shorthand Typist","Second Division","Pool",1898,1922,5,1,1922,8,5,"British"
"86",6394,5036,"Reginald Berkeley",0,"Member of Section","First Division","Information Section",NA,1922,1,1,1922,11,1,"British"
"87",6406,5042,"Oscar Uno Konrad Thorsing",0,"Member of Section","First Division","Information Section",1896,1925,10,1,1924,12,31,"Scandinavian"
"88",6408,5044,"George Herbert Mair",0,"Assistant Head of Section","First Division","Information Section",1887,1919,8,16,1922,10,31,"British"
"89",6418,5056,"André D. Toledano",0,"Member of Section","First Division","Information Section",1888,1919,8,8,1924,12,31,"French"
"90",6419,5056,"André D. Toledano",0,"Member of Section","First Division","Précis-Writing Department",1888,1921,2,NA,1924,12,31,"French"
"91",6420,9729,"Adelaide Hannah King",1,"Shorthand Typist","Second Division","Pool",1898,1922,9,1,NA,NA,NA,"British"
"92",6421,9729,"Adelaide Hannah King",1,"Shorthand Typist","Second Division","Pool",1898,1927,9,5,1927,9,27,"British"
"93",6425,9729,"Adelaide Hannah King",1,"Shorthand Typist","Second Division","Pool",1898,1930,11,6,NA,NA,NA,"British"
"94",6427,5063,"Charles Blackman",0,"Member of Section","First Division","Disarmament Section",1890,1925,11,27,1928,11,26,"British"
"95",6440,11412,"Alice Margaret Harvie",1,"Shorthand Typist","Second Division","Pool",1907,1936,9,28,1936,10,10,"British"
"96",6443,5075,"Bodil Begtrup",1,"Temporary Collaborator","First Division","Information Section",NA,1931,8,31,1931,9,21,"Scandinavian"
"97",6446,5078,"Henri Boissard",0,"Temporary Collaborator","First Division","Economic and Financial Section",1894,1930,6,24,1935,12,31,"French"
"98",6458,5090,"Paul Joseph Mantoux",0,"Director","First Division","Political Section",1877,1920,1,10,1927,1,15,"French"
"99",6473,5099,"Robert Marie Capot-Rey",0,"Temporary Collaborator","First Division","Information Section",1897,1922,7,13,1922,10,7,"French"
"100",6474,5100,"Efraim Cardoso",0,"Correspondent","Second Division","League of Nations",1900,1933,1,1,1935,2,28,"South American"
"101",6476,5102,"James Arthur Salter",0,"Director","First Division","Economic and Financial Section",1881,1919,6,13,1931,7,14,"British"
"102",6477,5102,"James Arthur Salter",0,"Secretary-General","First Division","Reparations Commission",1881,1920,1,NA,1922,6,30,"British"
"103",6478,5102,"James Arthur Salter",0,"Expert/Specialist","First Division","Financial Section & Economic Intelligence Service",1881,1931,4,1,1931,7,14,"British"
"104",6482,5105,"William Stephen Sanders",0,"Member of Section","First Division","Information Section",1871,1920,4,1,1920,7,14,"British"
"105",6484,5106,"André Sayous",0,"Member of Section","First Division","Economic and Financial Section",NA,1920,4,24,1920,12,31,"French"
"106",6487,5108,"Henriette Charlotte Schlesser",1,"Secretary","First Division","Deputy Secretary-General's Office",1877,1920,9,1,NA,NA,NA,"French"
"107",6488,5108,"Henriette Charlotte Schlesser",1,"Assistant Head of Office","Second Division","Personnel Office",1877,1933,8,28,1937,10,2,"French"
"108",6489,5108,"Henriette Charlotte Schlesser",1,"Expert/Specialist","First Division","Personnel Office",1877,1937,11,8,1937,12,31,"French"
"109",6490,5108,"Henriette Charlotte Schlesser",1,"Expert/Specialist","First Division","Personnel Office",1877,1938,4,25,1938,6,3,"French"
"110",6491,5109,"Manuel Perez-Guerrero",0,"Temporary Collaborator","First Division","Information Section",NA,1937,9,1,1938,3,1,"South American"
"111",6492,5109,"Manuel Perez-Guerrero",0,"Member of Section","First Division","Economic and Financial Section",NA,1937,10,18,1940,6,30,"South American"
"112",6516,5120,"Peter Christian Schou",0,"Director","First Division","Minorities Section",1883,1936,7,2,1937,6,30,"Scandinavian"
"113",6534,5131,"Torsten Cederlund",0,"Temporary Collaborator","First Division","Information Section",NA,1938,9,9,1938,9,30,"Scandinavian"
"114",6535,11412,"Alice Margaret Harvie",1,"Shorthand Typist","Second Division","Pool",1907,1937,5,10,1937,5,29,"British"
"115",6538,11412,"Alice Margaret Harvie",1,"Shorthand Typist","Second Division","Pool",1907,1937,9,20,1937,10,2,"British"
"116",6545,5141,"René Marie Frédéric Charron",0,"Director","First Division","Economic Relations Section",1894,1932,11,1,1946,7,31,"French"
"117",6548,5144,"Axel Serup",0,"Temporary Collaborator","First Division","Information Section",NA,1935,9,5,1935,9,26,"Scandinavian"
"118",6556,5149,"Ikbal Ali Shah",0,"Temporary Collaborator","First Division","Information Section",NA,1934,7,13,1934,10,13,"British"
"119",6564,5156,"Leonidas L. Silva",0,"Temporary Collaborator","First Division","Information Section",NA,1937,9,3,1937,9,24,"South American"
"120",6566,5158,"Pierre Marc Siraud",0,"Member of Section","First Division","Information Section",1907,1935,8,26,1940,9,15,"French"
"121",6581,5165,"Georges Paul Solyom",0,"Assistant Secretary","Second Division","Legal Section",1898,1921,11,3,1922,2,2,"Swiss"
"122",6582,5165,"Georges Paul Solyom",0,"Précis Writer","First Division","League of Nations",1898,1922,8,30,1926,9,1,"Swiss"
"123",6583,5165,"Georges Paul Solyom",0,"Member of Section","First Division","Legal Section",1898,1926,9,1,1926,9,30,"Swiss"
"124",6584,5166,"R.G. Somervell",0,"Expert/Specialist","First Division","League of Nations",NA,1933,4,5,1935,4,7,"British"
"125",6585,11256,"Ann Margaret Lewis",1,"Shorthand Typist","Second Division","Pool",1912,1938,4,20,1939,5,31,"British"
"126",6590,11435,"Anne Terrace Heggie",1,"Stenographer","Second Division","Pool",1888,1927,5,4,1927,5,23,"British"
"127",6591,11435,"Anne Terrace Heggie",1,"Stenographer","Second Division","Pool",1888,1927,9,5,1928,1,13,"British"
"128",6592,5172,"Emile Bouvier",0,"Temporary Collaborator","First Division","Information Section",NA,1932,9,19,1932,10,5,"French"
"129",6594,5174,"Magister Morton Bredsdorff",0,"Temporary Collaborator","First Division","Information Section",NA,1931,8,31,1931,9,21,"Scandinavian"
"130",6598,5179,"A.J.  Brink",0,"Temporary Collaborator","First Division","Information Section",NA,1931,8,31,1931,9,21,"British"
"131",6600,5182,"Marc Chavannes",0,"Temporary Collaborator","First Division","Information Section",NA,1921,9,5,1921,9,NA,"Swiss"
"132",6607,11292,"Becky Lubich",1,"Stenographer","Second Division","Pool",1892,1927,5,4,NA,NA,NA,"British"
"133",6611,5191,"Rasmus Stauri",0,"Temporary Collaborator","First Division","Information Section",NA,1931,8,31,1931,9,21,"Scandinavian"
"134",6612,5192,"Reverend Jacob Steen Narvig",0,"Temporary Collaborator","First Division","Information Section",NA,1938,9,9,1938,9,30,"Scandinavian"
"135",6613,5193,"Juan Stefanich",0,"Correspondent","Second Division","Information Section",1889,1927,2,1,1931,12,31,"South American"
"136",6622,5197,"Greta Stendahl",1,"Temporary Collaborator","First Division","Information Section",NA,1934,9,7,1934,9,28,"Scandinavian"
"137",6624,5199,"Michael Stewart",0,"Temporary Collaborator","First Division","Information Section",NA,1929,9,2,1929,9,23,"British"
"138",6627,11297,"Brian Lunn",0,"Translator","First Division","Pool",NA,1921,8,29,1921,10,5,"British"
"139",6628,5202,"Herman Stolpe",0,"Temporary Collaborator","First Division","Information Section",NA,1937,7,2,23,7,1937,"Scandinavian"
"140",6634,9711,"Catherine Barbara Kent",1,"Stenographer","Second Division","Pool",1897,1926,9,6,NA,NA,NA,"British"
"141",6635,5204,"Dr. Knud Stouman",0,"Statistician","First Division","League of Nations",1889,1944,5,15,1945,12,31,"Scandinavian"
"142",6649,5211,"Nancy E. Sutherland",1,"Temporary Collaborator","First Division","Information Section",NA,1930,9,8,1930,9,29,"British"
"143",6650,5212,"Højbjerg Christensen",0,"Temporary Collaborator","First Division","Information Section",NA,1933,7,10,1933,7,23,"Scandinavian"
"144",6659,9207,"Cecil Frank Clifford Davis",0,"Proof-Reader","Second Division","Pool",NA,1932,2,2,1932,3,18,"British"
"145",6660,11164,"Charles Henry Le Bosquet",0,"Interpreter-Translator","First Division","Pool",1895,1924,10,6,1940,7,3,"British"
"146",6665,9233,"Charles Watson Dawson",0,"Verbatim Reporter","Second Division","General Assemblies Staff",1892,1926,8,1,1926,9,27,"British"
"147",6670,5225,"Henri Gustave Lamba",0,"Member of Section","First Division","Legal Section",1862,1920,11,8,1925,12,31,"French"
"148",6671,5226,"Pierre Combret de Lanux",0,"Correspondent","Second Division","Paris Office",1887,1924,5,8,1934,6,30,"French"
"149",6672,5227,"R.T.E. Latham",0,"Temporary Collaborator","First Division","Information Section",NA,1936,9,17,1936,10,15,"British"
"150",6673,5228,"W. Layton",0,"Director","First Division","Economic and Financial Section",NA,1920,4,1,NA,NA,NA,"British"
"151",6675,5231,"Essy Hjördis Lehmann",1,"Assistant","Second Division","Economic and Financial Section",1893,1921,5,5,1921,6,27,"Scandinavian"
"152",6676,5231,"Essy Hjördis Lehmann",1,"Assistant","Second Division","Communications and Transit Section",1893,1921,6,27,1922,1,1,"Scandinavian"
"153",6677,5231,"Essy Hjördis Lehmann",1,"Senior Assistant","First Division","Communications and Transit Section",1893,1922,1,1,1923,1,1,"Scandinavian"
"154",6678,5231,"Essy Hjördis Lehmann",1,"Secretary","First Division","Communications and Transit Section",1893,1923,1,1,1931,1,1,"Scandinavian"
"155",6679,5231,"Essy Hjördis Lehmann",1,"Member of Section","First Division","Communications and Transit Section",1893,1931,1,1,1939,6,15,"Scandinavian"
"156",6694,5237,"John Lindberg",0,"Member of Section","First Division","Financial Section & Economic Intelligence Service",1901,1937,11,8,1939,7,15,"Scandinavian"
"157",6695,5238,"John Lindgren",0,"Temporary Collaborator","First Division","Information Section",NA,1931,8,31,1931,9,21,"Scandinavian"
"158",6697,5240,"Edward Mayor Hastings Lloyd",0,"Member of Section","First Division","Economic and Financial Section",1889,1919,7,1,1921,10,31,"British"
"159",6698,5241,"Godfrey Isaac Howard Lloyd",0,"Expert/Specialist","First Division","Economic Relations Section",1875,1935,11,26,1937,10,15,"British"
"160",6699,9233,"Charles Watson Dawson",0,"Verbatim Reporter","Second Division","General Assemblies Staff",1892,1927,9,5,1928,2,20,"British"
"161",6701,5244,"Luis Agustin Podesta Costa",0,"Legal Adviser","First Division","Legal Section",NA,NA,NA,NA,NA,NA,NA,"South American"
"162",6702,5244,"Luis Agustin Podesta Costa",0,"Under Secretary General","First Division","Under-Secretary-General's Office",NA,1938,1,29,1943,12,31,"South American"
"163",6704,5246,"Alexander Loveday",0,"Member of Section","First Division","Economic and Financial Section",1888,1919,7,1,1929,1,1,"British"
"164",6705,5246,"Alexander Loveday",0,"Director","First Division","Financial Section & Economic Intelligence Service",1888,1931,4,1,1939,7,15,"British"
"165",6706,5246,"Alexander Loveday",0,"Chief of Section","First Division","Economic and Financial Section",1888,1929,1,1,1931,4,1,"British"
"166",6707,5246,"Alexander Loveday",0,"Director","First Division","League of Nations",1888,1939,7,15,1940,8,6,"British"
"167",6713,5251,"José H. Porto",0,"Member of Section","First Division","Economic and Financial Section",NA,1926,11,11,1928,11,10,"South American"
"168",6716,9233,"Charles Watson Dawson",0,"Verbatim Reporter","Second Division","General Assemblies Staff",1892,1928,8,30,1929,4,15,"British"
"169",6719,5256,"Marcel Henri Prevost",0,"Temporary Collaborator","First Division","Information Section",NA,1937,9,9,1937,9,30,"French"
"170",6725,5262,"Dr. Henrik Kaestlin",0,"Temporary Collaborator","First Division","Information Section",NA,1937,9,9,1937,9,30,"Swiss"
"171",6729,5267,"Chester Purves",0,"Translator","First Division","Secretary-General's Office",NA,1924,11,24,1925,4,6,"British"
"172",6730,5267,"Chester Purves",0,"Précis Writer","First Division","Précis-Writing Department",NA,1927,5,17,1930,12,31,"British"
"173",6731,5267,"Chester Purves",0,"Précis Writer","First Division","Deputy Secretary-General's Office",NA,1936,2,21,1936,12,31,"British"
"174",6732,5267,"Chester Purves",0,"Member of Section","First Division","Personnel Office",NA,1937,1,1,1940,7,24,"British"
"175",6733,9233,"Charles Watson Dawson",0,"Verbatim Reporter","Second Division","General Assemblies Staff",1892,1929,8,26,1930,2,17,"British"
"176",6736,9233,"Charles Watson Dawson",0,"Verbatim Reporter","Second Division","Pool",1892,1926,11,9,1926,11,19,"British"
"177",6741,5274,"E. Keller",1,"Temporary Collaborator","First Division","Information Section",NA,1938,9,10,1938,10,1,"Swiss"
"178",6748,9233,"Charles Watson Dawson",0,"Verbatim Reporter","Second Division","Pool",1892,1926,11,19,1926,11,28,"British"
"179",6753,9233,"Charles Watson Dawson",0,"Verbatim Reporter","Second Division","Pool",1892,1928,2,20,1928,3,15,"British"
"180",6754,5282,"L. C. Klein",0,"Temporary Collaborator","First Division","Information Section",NA,1930,9,8,1930,9,29,"French"
"181",6755,9233,"Charles Watson Dawson",0,"Verbatim Reporter","Second Division","Pool",1892,1928,6,20,1928,8,30,"British"
"182",6758,5286,"Dr. A. A. Koskenjaakko",0,"Temporary Collaborator","First Division","Information Section",NA,1931,8,31,1931,9,21,"Scandinavian"
"183",6760,5288,"Ludwig Thorwald de Krabbe",0,"Member of Section","First Division","Information Section",1884,1921,4,1,1931,4,16,"Scandinavian"
"184",6761,5288,"Ludwig Thorwald de Krabbe",0,"Member of Section","First Division","Administrative and Minorities Section",1884,1931,4,16,1933,10,27,"Scandinavian"
"185",6762,5288,"Ludwig Thorwald de Krabbe",0,"Member of Section","First Division","Political Section",1884,1935,10,27,1939,4,30,"Scandinavian"
"186",6763,5288,"Ludwig Thorwald de Krabbe",0,"League of Nations staff","League of Nations staff","League of Nations",1884,1924,8,1,1925,12,31,"Scandinavian"
"187",6774,9233,"Charles Watson Dawson",0,"Verbatim Reporter","Second Division","General Assemblies Staff",1892,1930,9,4,1930,10,4,"British"
"188",6778,9233,"Charles Watson Dawson",0,"Verbatim Reporter","Second Division","General Assemblies Staff",1892,1936,6,26,1936,7,6,"British"
"189",6779,9233,"Charles Watson Dawson",0,"Verbatim Reporter","Second Division","General Assemblies Staff",1892,1937,5,25,1937,5,29,"British"
"190",6780,5301,"Ernest W. H. Jackman",0,"League of Nations staff","League of Nations staff","League of Nations",NA,1920,8,1,1923,11,10,"British"
"191",6781,5301,"Ernest W. H. Jackman",0,"Member of Section","First Division","Disarmament Section",NA,1920,8,1,1923,11,10,"British"
"192",6782,5302,"Per Jacobsson",0,"Member of Section","First Division","Economic and Financial Section",1894,1920,4,23,1928,12,31,"Scandinavian"
"193",6783,5303,"Eric Ibbetson James",0,"Member of Section","First Division","Economic and Financial Section",1888,1920,11,13,1921,1,1,"British"
"194",6784,5303,"Eric Ibbetson James",0,"Member of Section","First Division","Economic and Financial Section",1888,1921,1,1,1921,7,29,"British"
"195",6785,5303,"Eric Ibbetson James",0,"Member of Section","First Division","Précis-Writing Department",1888,1921,7,29,1921,10,15,"British"
"196",6786,5303,"Eric Ibbetson James",0,"Member of Section","First Division","Précis-Writing Department",1888,1922,7,14,1922,11,30,"British"
"197",6787,5303,"Eric Ibbetson James",0,"Member of Section","First Division","Précis-Writing Department",1888,1923,8,5,1924,1,19,"British"
"198",6788,5303,"Eric Ibbetson James",0,"Minute Writer","Second Division","League of Nations",1888,1924,NA,NA,1924,NA,NA,"British"
"199",6791,5305,"Elisabeth Janstein",1,"Temporary Collaborator","First Division","Information Section",NA,1929,8,26,1929,9,16,"French"
"200",6795,5307,"Thomas Frank Johnson",0,"League of Nations staff","League of Nations staff","High Commission for Refugees",1887,1921,NA,NA,1930,1,1,"British"
"201",6796,5307,"Thomas Frank Johnson",0,"Chief of Section","First Division","Refugee Section",1887,1930,1,1,1931,3,31,"British"
"202",6798,5308,"Agnes Jorgensen",1,"Temporary Collaborator","First Division","Information Section",NA,1935,9,5,1935,9,26,"Scandinavian"
"203",6799,5309,"Herald Jørgensen",0,"Temporary Collaborator","First Division","Information Section",NA,1932,9,19,1932,10,10,"Scandinavian"
"204",6800,5310,"Kaalund Jorgensen",0,"Temporary Collaborator","First Division","Information Section",NA,1935,9,5,1935,9,26,"Scandinavian"
"205",6802,5311,"M. F. W. Joseph",1,"Member of Section","First Division","Financial Section & Economic Intelligence Service",1910,1936,10,1,1938,2,12,"British"
"206",6803,5311,"M. F. W. Joseph",1,"Member of Section","First Division","Department II",1910,1934,8,21,1944,2,20,"British"
"207",6808,5315,"John Brown",0,"Temporary Collaborator","First Division","Information Section",NA,1932,9,26,1932,10,7,"British"
"208",6810,5317,"Erik Bruel",0,"Temporary Collaborator","First Division","Information Section",NA,1937,11,20,1937,12,11,"Scandinavian"
