"","X","id","pname","gender","fname","canonical_fname","oname","born_on_year","begin_on_year","begin_on_month","begin_on_day","end_on_year","end_on_month","end_on_day","nationality","fname_code"
"24",6366,5013,"Salvador Madariga",0,"Chief of Section","First Division","Disarmament Section",1886,1922,8,1,NA,NA,NA,"Spanish",9
"25",6395,5037,"Enrique Bernstein",0,"Temporary Collaborator","First Division","Information Section",NA,NA,NA,NA,NA,NA,NA,"",8
"26",6415,5054,"L. Bhagi-Rathi",1,"Temporary Collaborator","First Division","Information Section",NA,1935,9,5,1035,9,24,"Indian",8
"27",6420,9729,"Adelaide Hannah King",1,"Shorthand Typist","Second Division","Pool",1898,1922,9,1,NA,NA,NA,"British",4
"28",6425,9729,"Adelaide Hannah King",1,"Shorthand Typist","Second Division","Pool",1898,1930,11,6,NA,NA,NA,"British",4
"29",6432,5070,"Frédéric Blondeel",0,"Member of Section","First Division","Information Section",1890,NA,NA,NA,NA,NA,NA,"",8
"30",6442,5074,"Adolf Bochenski",0,"Temporary Collaborator","First Division","Information Section",NA,NA,NA,NA,NA,NA,NA,"Polish",8
"31",6448,5080,"Artur Tupits",0,"Temporary Collaborator","First Division","Information Section",NA,NA,NA,NA,NA,NA,NA,"Estonian",8
"32",6464,5092,"Prof. Bernardo B. Attolico",0,"Director","First Division","Economic Bureau",1880,NA,NA,NA,NA,NA,NA,"Italian",9
"33",6466,5093,"Candido Sahini",0,"Secretary","First Division","Under-Secretary-General's Office",1870,1924,8,24,NA,NA,NA,"Italian",6
"34",6487,5108,"Henriette Charlotte Schlesser",1,"Secretary","First Division","Deputy Secretary-General's Office",1877,1920,9,1,NA,NA,NA,"French",6
"35",6501,5116,"Massimo Pilotti",0,"Under Secretary General","First Division","Under Secretary-Generals' in charge International Bureaux and Intellectual-Co-operation Section Office",NA,NA,NA,NA,NA,NA,NA,"Italian",9
"36",6514,5118,"Charles Schonberger",0,"Member of Section","First Division","Economic and Financial Section",1886,NA,NA,NA,NA,NA,NA,"Austrian",8
"37",6557,5150,"Brij Mohan Sharma",0,"Assistant","Second Division","League of Nations",1900,NA,NA,NA,1933,NA,NA,"Indian",4
"38",6606,5188,"Dr. Andrija Stampar",0,"Expert/Specialist","First Division","League of Nations",1888,NA,NA,NA,1936,10,15,"Yugoslav",8
"39",6607,11292,"Becky Lubich",1,"Stenographer","Second Division","Pool",1892,1927,5,4,NA,NA,NA,"British",4
"40",6628,5202,"Herman Stolpe",0,"Temporary Collaborator","First Division","Information Section",NA,1937,7,2,23,7,1937,"Swedish",8
"41",6634,9711,"Catherine Barbara Kent",1,"Stenographer","Second Division","Pool",1897,1926,9,6,NA,NA,NA,"British",4
"42",6663,5218,"Diana Cohen",1,"Temporary Collaborator","First Division","Information Section",NA,NA,NA,NA,NA,NA,NA,"",8
"43",6673,5228,"W. Layton",0,"Director","First Division","Economic and Financial Section",NA,1920,4,1,NA,NA,NA,"English",9
"44",6701,5244,"Luis Agustin Podesta Costa",0,"Legal Adviser","First Division","Legal Section",NA,NA,NA,NA,NA,NA,NA,"Argentinian",8
"45",6715,5253,"Gerasimos Lynchos",0,"Temporary Collaborator","First Division","Information Section",NA,NA,NA,NA,NA,NA,NA,"Greek",8
"46",6742,5275,"Clovis Kernisan",0,"Delegate","League of Nations staff","League of Nations",1885,NA,NA,NA,1930,12,1,"Haitian",8
"47",6813,5320,"Prof. A. Brusewitz",0,"Temporary Collaborator","First Division","Information Section",NA,1927,6,NA,NA,NA,NA,"Swedish",8
"48",6822,5327,"J.R.M. Butler",0,"Temporary Collaborator","First Division","Political Section",NA,1921,9,11,NA,NA,NA,"",8
"49",6836,5335,"Robert  Haas",0,"Secretariat","Secretariat","Advisory and Technical Committee for Communications and Transit of the League of Nations",1891,1921,NA,NA,NA,NA,NA,"French",10
"50",6901,5386,"John Hamilton",0,"League of Nations staff","League of Nations staff","League of Nations",NA,1920,9,NA,NA,NA,NA,"English",8
"51",6924,5404,"Muhyi el Din el Mumayiz",0,"Temporary Collaborator","First Division","Legal Section",1910,NA,NA,NA,NA,NA,NA,"Iraqi",8
"52",6949,5421,"T.S. Ramanujam",0,"Correspondent","Second Division","Bombay Office",NA,1932,9,1,NA,NA,NA,"Indian",6
"53",7120,5527,"Arthur Elliott Felkin",0,"Member of Section","First Division","Economic and Financial Section",NA,1923,1,15,NA,NA,NA,"English",8
"54",7126,5532,"Raymond B. Fosdick",0,"Under Secretary General","First Division","Under-Secretary-General's Office",NA,1919,7,17,NA,NA,NA,"US-American",9
"55",7137,5539,"Georges Fleury",0,"Member of Section","First Division","Information Section",NA,1920,7,15,NA,NA,NA,"",8
"56",7149,5556,"H.R. Rodwell",0,"Temporary Collaborator","First Division","Information Section",NA,1934,9,7,NA,NA,NA,"English",8
"57",8323,6629,"Prof. G. Scelle",-1,"Précis Writer","First Division","General Assemblies Staff",NA,1922,9,2,NA,NA,NA,"",7
"58",10137,8425,"Edgard F. G. Abraham",0,"Interpreter","First Division","Washington Labour Conference",1884,NA,NA,NA,NA,NA,NA,"British,English",7
"59",10197,8485,"Alfred  Adams",0,"House Staff","Third Division","Auxiliary Staff",NA,NA,NA,NA,NA,NA,NA,"",1
"60",10199,9949,"Ella Amelia Doyle",1,"Shorthand Typist","Second Division","Financial Section & Economic Intelligence Service",1886,NA,NA,NA,NA,NA,NA,"Australian",4
"61",10239,11553,"Ethel Hopgood",1,"Assistant Translator","First Division","Pool",NA,NA,NA,NA,1921,NA,NA,"British",4
"62",10271,8518,"J.  Falconnat",0,"Driver","Third Division","Auxiliary Staff",NA,1923,9,3,NA,NA,NA,"",1
"63",10274,8520,"L. Falquet",0,"Messenger","Second Division","Duplicating & Multigraph Service",NA,1922,8,28,NA,NA,NA,"",3
"64",10275,9732,"G. H. King",0,"Verbatim Reporter","Second Division","General Assemblies Staff",NA,1921,9,3,NA,NA,NA,"British",4
"65",10280,9732,"G. H. King",0,"Verbatim Reporter","Second Division","General Assemblies Staff",NA,1922,9,2,NA,NA,NA,"British",4
"66",10294,11509,"Hissett",1,"Shorthand Typist","Second Division","Pool",NA,1920,9,15,NA,NA,NA,"British",4
"67",10325,8551,"Robert Fath",0,"Messenger","Second Division","Distribution of Documents",1904,1924,9,1,NA,NA,NA,"Swiss",3
"68",10326,8551,"Robert Fath",0,"Messenger","Second Division","Distribution of Documents",1904,1925,8,22,NA,NA,NA,"Swiss",3
"69",10330,8552,"Robert Fatio",0,"Translator","First Division","Translation",1893,1919,10,6,NA,NA,NA,"Swiss",7
"70",10331,11577,"Horace Vernon Humphreys",0,"Verbatim Reporter","Second Division","Pool",1898,1927,3,15,NA,NA,NA,"British",4
"71",10336,11508,"Horace Walter Hiscoke",0,"Verbatim Reporter","Second Division","Pool",1890,1925,11,1,NA,NA,NA,"British",4
"72",10340,8558,"Simone Favre",1,"Messenger","Second Division","Duplicating & Multigraph Service",1909,1924,9,1,NA,NA,NA,"French",3
"73",10341,8558,"Simone Favre",1,"Lon Duplicator","Second Division","Duplicating & Multigraph Service",1909,1925,8,25,NA,NA,NA,"French",2
"74",10342,8558,"Simone Favre",1,"Lon Duplicator","Second Division","Duplicating & Multigraph Service",1909,1926,3,8,NA,NA,NA,"French",2
"75",10380,8582,"Kate Field",1,"Messenger","Second Division","London Office",NA,NA,NA,NA,1921,1,22,"",3
"76",10382,8583,"Lionel  Fielden",0,"Translator","First Division","Translation",1896,1921,8,25,NA,NA,NA,"English",7
"77",10384,8583,"Lionel  Fielden",0,"Translator","First Division","Translation",1896,1922,8,28,NA,NA,NA,"English",7
"78",10387,12446,"Hugh Mortimer Gann",0,"Translator","First Division","General Assemblies Staff",NA,1922,9,2,NA,NA,NA,"British",7
"79",10399,8592,"Eugène  Filotti",0,"Temporary Collaborator","First Division","Information Section",NA,1927,9,3,NA,NA,NA,"Romanian",8
"80",10413,8602,"Georges Francois  Fissore",0,"Clerk","Second Division","Distribution of Documents",1897,1920,11,12,NA,NA,NA,"Italian",4
"81",10414,8602,"Georges Francois  Fissore",0,"Clerk","Second Division","Economic and Financial Section",1897,1920,11,NA,NA,NA,NA,"Italian",4
"82",10415,8602,"Georges Francois  Fissore",0,"Clerk","Second Division","Treasury",1897,NA,NA,NA,1922,11,18,"Italian",4
"83",10424,8609,"Théo Fleischmann",0,"Temporary Collaborator","First Division","Information Section",NA,1930,9,9,NA,NA,NA,"",8
"84",10425,8609,"Théo Fleischmann",0,"Temporary Collaborator","First Division","Information Section",NA,1931,9,7,NA,NA,NA,"",8
"85",10436,8612,"Henry Emile Fleury",0,"Verbatim Reporter","Second Division","Council Conference",1901,1930,5,8,NA,NA,NA,"French",4
"86",10445,8619,"Emile  Fontaine",0,"Driver","Third Division","Auxiliary Staff",1907,1946,7,15,194,7,31,"Swiss",1
"87",10446,8621,"Jeanne Fontana",1,"Messenger","Second Division","Duplicating & Multigraph Service",1906,1926,9,2,NA,NA,NA,"Swiss",3
"88",10452,8624,"Léon Rodolphe Marius Foresti",0,"Cleaner","Third Division","Auxiliary Staff",1899,1927,1,1,NA,NA,NA,"Swiss",1
"89",10473,8641,"G. E.  Franey",0,"Verbatim Reporter","Second Division","International Financial Conference",NA,1920,9,21,NA,1920,10,"English",4
"90",10512,8668,"Guillaume  Fatio",0,"Service staff","Third Division","Auxiliary Staff",NA,NA,NA,NA,NA,NA,NA,"Swiss",1
"91",10533,8680,"Laure  Gendre",1,"Messenger","Second Division","Auxiliary Staff",1893,1924,8,28,NA,NA,NA,"Swiss",3
"92",10555,8702,"Francis Genet",0,"Cyclist","Third Division","Auxiliary Staff",NA,1921,8,24,NA,NA,NA,"Swiss",1
"93",10558,8705,"Rose  Genier",1,"Assistant","Second Division","Library",NA,1921,1,26,NA,NA,NA,"Swiss",4
"94",10575,8708,"Louis  Gentil",0,"Messenger","Second Division","Distribution of Documents",1898,1927,8,22,NA,NA,NA,"Swiss",3
"95",10577,8710,"E. Georg",0,"Interpreter","First Division","Translation",NA,1920,9,24,NA,NA,NA,"Swiss",7
"96",10578,11552,"Lilian Hooper",1,"Stenographer","Second Division","Pool",NA,1920,2,12,NA,NA,NA,"British",4
"97",10633,8738,"Mariette Girod-Poncioni",1,"Messenger","Second Division","Duplicating & Multigraph Service",1897,1922,5,31,NA,NA,NA,"French",3
"98",10634,8738,"Mariette Girod-Poncioni",1,"Messenger","Second Division","Duplicating & Multigraph Service",1897,1923,6,29,NA,NA,NA,"French",3
"99",10636,8739,"Louise Gisiger née Gaste",1,"Copyist","Second Division","Central Opium Board",1893,1929,11,11,NA,1934,9,"Swiss",2
"100",10642,8743,"Blanche  Glaser",1,"Messenger","Second Division","Duplicating & Multigraph Service",1909,1925,9,7,NA,NA,NA,"Austrian",3
"101",10741,8792,"Marcelle Gouin",1,"Translator","First Division","Labour Conference At Washington",NA,1919,10,9,NA,NA,NA,"",7
"102",10762,8804,"Georges Graf",0,"Messenger","Second Division","Economic Conference",1876,1927,4,29,NA,NA,NA,"Swiss",3
"103",10773,9194,"Winifred Davies",1,"Shorthand Typist","Second Division","Pool",NA,1921,3,5,NA,NA,NA,"British",4
"104",10787,8826,"Dr. Louis Gray",0,"Personal Assistant","First Division","Mandates Section",NA,NA,NA,NA,NA,NA,NA,"US-American",7
"105",10788,8827,"Gray",1,"Secretary","First Division","Information Section",NA,1923,2,1,1023,9,10,"English",6
"106",10789,8828,"Rhoda Green",1,"Clerk Assistant","Second Division","Library",NA,NA,NA,NA,NA,NA,NA,"",3
"107",10796,10624,"Ann E. Walbridge",1,"Stenographer","Second Division","Pool",1886,1925,9,7,NA,NA,NA,"Canadian",4
"108",10805,10401,"Norah M. Eyre",1,"Shorthand Typist","Second Division","Pool",NA,1921,9,4,NA,NA,NA,"Canadian",4
"109",10837,10400,"Zdena Jelinkova",1,"Shorthand Typist","Second Division","Pool",NA,NA,NA,NA,NA,NA,NA,"Czech",4
"110",10844,8865,"Theophile Gschwind",0,"Cleaner","Third Division","Auxiliary Staff",NA,1920,11,1,NA,NA,NA,"Swiss",1
"111",10847,8867,"Paul Guerie",0,"Verbatim Reporter","Second Division","Counsel",1883,1922,7,1,NA,NA,NA,"French",4
"112",10851,8868,"Georges Guerin",0,"Verbatim Reporter","Second Division","Précis-Writing Department",1873,1922,5,11,NA,NA,NA,"French",4
"113",10853,8868,"Georges Guerin",0,"Verbatim Reporter","Second Division","Précis-Writing Department",1873,1923,9,16,NA,NA,NA,"French",4
"114",10854,8868,"Georges Guerin",0,"Verbatim Reporter","Second Division","Précis-Writing Department",1873,1924,9,13,NA,NA,NA,"French",4
"115",10855,8868,"Georges Guerin",0,"Verbatim Reporter","Second Division","Précis-Writing Department",1873,1925,9,19,NA,NA,NA,"French",4
"116",10856,8868,"Georges Guerin",0,"Verbatim Reporter","Second Division","Précis-Writing Department",1873,1926,3,8,NA,NA,NA,"French",4
"117",10866,8871,"Germaine  Guibentif-Privat",1,"Assistant","Second Division","Précis-Writing Department",1895,1921,9,3,NA,NA,NA,"Swiss",4
"118",10867,8871,"Germaine  Guibentif-Privat",1,"Assistant","Second Division","Précis-Writing Department",1895,1922,9,1,NA,NA,NA,"Swiss",4
"119",10869,8871,"Germaine  Guibentif-Privat",1,"Assistant","Second Division","Précis-Writing Department",1895,1924,9,1,NA,NA,NA,"Swiss",4
"120",10876,10596,"Netty de Vink",1,"Shorthand Typist","Second Division","Pool",NA,1921,9,5,NA,NA,NA,"Dutch",4
"121",10877,8765,"A. J. Goldberry",0,"Translator","First Division","General Assemblies Staff",NA,NA,NA,NA,NA,NA,NA,"English",7
"122",10881,8879,"Jorge Guillen",0,"Translator","First Division","Translation",NA,1920,11,22,NA,NA,NA,"",7
"123",10911,8888,"Jean William Guiton",0,"Clerk","Second Division","Information Section",1906,1925,9,1,NA,NA,NA,"French",4
"124",10920,9398,"Airlie Margaret Isabel Moss",1,"Stenographer","Second Division","Pool",1890,1926,9,6,NA,NA,NA,"English",4
"125",10950,8914,"Mackinder",1,"Duplicating Operator","Second Division","Duplicating & Multigraph Service",NA,1920,10,20,NA,NA,NA,"English",3
"126",10952,10599,"Alice Mary Vinter",1,"Shorthand Typist","Second Division","Pool",1889,1926,8,2,NA,NA,NA,"English",4
"127",10974,10607,"Angela Viveash",1,"Copyist","Second Division","Pool",NA,1919,7,9,NA,NA,NA,"English",2
"128",10977,8932,"Maisie Mckay",1,"Roneo Operator","Second Division","Duplicating & Multigraph Service",NA,1919,6,24,NA,NA,NA,"English",2
"129",10987,8938,"Elisa Mader",1,"Messenger","Second Division","Duplicating & Multigraph Service",1908,1925,9,7,NA,NA,NA,"Swiss",3
"130",10988,8938,"Elisa Mader",1,"Messenger","Second Division","Duplicating & Multigraph Service",1908,1926,3,8,NA,NA,NA,"Swiss",3
"131",11010,8948,"Magnus",0,"Member of Section","First Division","Information Section",NA,1919,10,NA,NA,NA,NA,"",8
"132",11023,11524,"D.  Hollins",1,"Shorthand Typist","Second Division","Unspecified",NA,NA,NA,NA,NA,NA,NA,"British",4
"133",11024,8832,"Barbara Greves",1,"Shorthand Typist","Second Division","General Assemblies Staff",NA,1921,8,20,NA,NA,NA,"English",4
"134",11026,8957,"Mallinson",1,"Duplicating Operator","Second Division","Duplicating & Multigraph Service",NA,1920,10,13,NA,NA,NA,"English",3
"135",11027,8832,"Barbara Greves",1,"Shorthand Typist","Second Division","General Assemblies Staff",NA,1922,8,25,NA,NA,NA,"English",4
"136",11032,8832,"Barbara Greves",1,"Shorthand Typist","Second Division","General Assemblies Staff",NA,1924,9,6,NA,NA,NA,"English",4
"137",11093,10525,"Catherine  McMahon Trowell",1,"Copyist","Second Division","Pool",NA,1923,9,3,NA,NA,NA,"English",2
"138",11106,9126,"Cecily Graham Babington",1,"Shorthand Typist","Second Division","Pool",1899,1922,8,29,NA,NA,NA,"English",4
"139",11113,9014,"Renée  Marti",1,"Cleaner","Third Division","Auxiliary Staff",1898,1930,9,2,103,9,13,"Swiss",1
"140",11139,9126,"Cecily Graham Babington",1,"Shorthand Typist","Second Division","Pool",1899,NA,NA,NA,1935,30,4,"English",4
"141",11152,9036,"Marius Mattei",0,"Clerk","Second Division","Distribution of Documents",1871,1924,8,29,NA,NA,NA,"Swiss",4
"142",11169,9047,"Sergeant Frank Victor Maynard",0,"Office Keeper","Third Division","Internal Administration",NA,1920,3,5,NA,NA,NA,"English",2
"143",11190,10791,"Colin Tremaine Wright",0,"Verbatim Reporter","Second Division","General Assemblies Staff",1887,1922,9,2,NA,NA,NA,"English",4
"144",11191,9058,"Cornelia Anna van der Meer",1,"Messenger","Second Division","Conference for the Codification of International Law",1909,1930,3,13,NA,NA,NA,"Dutch",3
"145",11194,9061,"Juliette Mehlin",1,"Duplicator Operator","Second Division","Duplicating & Multigraph Service",1896,1925,9,1,NA,NA,NA,"Swiss",3
"146",11211,9068,"Georges Meisterlein",0,"Messenger","Second Division","Distribution of Documents",NA,1922,8,21,NA,NA,NA,"Swiss",3
"147",11237,10791,"Colin Tremaine Wright",0,"Verbatim Reporter","Second Division","General Assemblies Staff",1887,1925,5,21,NA,NA,NA,"English",4
"148",11241,10316,"Constance Sylvia Spencer",1,"Stenographer","Second Division","Pool",1906,1926,9,6,NA,NA,NA,"English",4
"149",11242,11579,"D. M.  Hunt",1,"Stenographer","Second Division","Pool",NA,NA,NA,NA,1921,NA,NA,"English",4
"150",11252,9105,"Paul Meisterlein",0,"Messenger","Second Division","Distribution of Documents",1910,932,11,21,1932,11,29,"Swiss",3
"151",11260,9112,"Mr. Warrar Irvin",0,"Temporary Correspondent","First Division","Information Section",NA,NA,NA,NA,NA,NA,NA,"US-American",7
"152",11266,9116,"Georges Silvain François Charles Kaeckenbeeck",0,"Member of Section","First Division","Legal Section",1892,NA,NA,NA,NA,NA,NA,"",8
"153",11282,9127,"H. de Régny Irving",0,"Translator","First Division","Transit Conference at Barcelona",NA,1921,3,10,NA,NA,NA,"English",7
"154",11295,9141,"T. Meras",1,"Assistant Secretary","Second Division","Political Section",NA,1919,10,NA,NA,NA,NA,"French",4
"155",11299,9146,"Maud Dauphin",1,"Typist","Second Division","London Office",NA,1919,7,21,NA,NA,NA,"French",4
"156",11308,9151,"Louis Egger",0,"Driver","Third Division","Auxiliary Staff",1893,1925,9,7,NA,NA,NA,"Swiss",1
"157",11310,9151,"Louis Egger",0,"Driver","Third Division","Auxiliary Staff",1893,1926,3,8,NA,NA,NA,"Swiss",1
"158",11311,9151,"Louis Egger",0,"Driver","Third Division","Auxiliary Staff",1893,1926,9,1,NA,NA,NA,"Swiss",1
"159",11316,9151,"Louis Egger",0,"Driver","Third Division","Economic Conference",1893,1927,5,4,NA,NA,NA,"Swiss",1
"160",11318,9153,"Marguerite Mercier",1,"Messenger","Second Division","Duplicating & Multigraph Service",1908,1924,9,1,NA,NA,NA,"Swiss",3
"161",11319,10429,"Doreen Swallow",1,"Shorthand Typist","Second Division","Pool",NA,1921,9,3,NA,NA,NA,"English",4
"162",11333,9163,"Ruth Bache-Wiig",0,"Indexer","Second Division","Library",1891,1920,9,15,NA,NA,NA,"US-American",4
"163",11354,9179,"Marthe Merkli",1,"Messenger","Second Division","Duplicating & Multigraph Service",1897,1925,9,7,NA,NA,NA,"Swiss",3
"164",11395,9191,"Georges Kaminker",0,"Interpreter","Interpreter","United Nations",NA,NA,NA,NA,1946,NA,NA,"French",7
"165",11396,9191,"Georges Kaminker",0,"Interpreter","Interpreter","United Nations",NA,1946,NA,NA,NA,NA,NA,"French",7
"166",11398,9193,"Mrs. Yvonne Isch",1,"Messenger","Second Division","Duplicating & Multigraph Service",1901,1930,4,29,NA,NA,NA,"Swiss",3
"167",11399,9814,"Dorothy  Pratt née Trowell",1,"Copyist","Second Division","Pool",NA,1922,8,28,NA,NA,NA,"English",2
"168",11401,9196,"Robert Iseli",0,"Cyclist","Third Division","Auxiliary Staff",NA,1922,9,5,NA,NA,NA,"",1
"169",11405,9814,"Dorothy  Pratt née Trowell",1,"Copyist","Second Division","Pool",NA,1923,9,3,NA,NA,NA,"English",2
"170",11420,9212,"Renée Marguerite Cambassedes",1,"Copyist","Second Division","Disarmement Conference",1909,1930,11,6,NA,NA,NA,"Swiss",2
"171",11461,9233,"Charles Watson Dawson",0,"Verbatim Reporter","Second Division","Conference for the Codification of International Law",1892,1930,2,17,NA,NA,NA,"British",4
"172",11483,9399,"Edith Moss",1,"Copyist","Second Division","Pool",NA,1922,8,28,NA,NA,NA,"English",2
"173",11484,11118,"Edna Maud Rengert",1,"Stenographer","Second Division","Pool",1898,1925,9,7,NA,NA,NA,"English",4
"174",11490,10786,"Eileen H. L.  Woods",1,"Shorthand Typist","Second Division","General Assemblies Staff",NA,1921,8,30,NA,NA,NA,"English",4
"175",11504,9247,"Hilde Metzger",1,"Polycopist","Second Division","Duplicating & Multigraph Service",1916,1935,7,31,NA,NA,NA,"German",2
"176",11516,10712,"Elizabeth H. Whitehouse",1,"Stenographer","Second Division","Pool",NA,1922,8,28,NA,NA,NA,"English",4
"177",11517,10756,"Elizabeth Johnston",1,"Shorthand Typist","Second Division","General Assemblies Staff",NA,1921,8,15,NA,NA,NA,"English",4
"178",11543,9945,"Elsie Dougherty",1,"Stenographer","Second Division","Pool",NA,1921,8,20,NA,NA,NA,"English",4
"179",11558,10280,"Elsie Marjory Smith",1,"Typist","Second Division","Pool",1899,1920,5,10,NA,NA,NA,"English",4
"180",11596,10031,"Ernest  Satchwell ",0,"Translator","First Division","General Assemblies Staff",1876,1922,9,2,NA,NA,NA,"English",7
"181",11597,10764,"Ernest Augustus  Wilson",0,"Verbatim Reporter","Second Division","General Assemblies Staff",1868,1921,9,3,NA,NA,NA,"English",4
"182",11602,10764,"Ernest Augustus  Wilson",0,"Verbatim Reporter","Second Division","General Assemblies Staff",1868,1922,9,2,NA,NA,NA,"English",4
"183",11612,10764,"Ernest Augustus  Wilson",0,"Verbatim Reporter","Second Division","General Assemblies Staff",1868,1923,9,2,NA,NA,NA,"English",4
"184",11613,10764,"Ernest Augustus  Wilson",0,"Verbatim Reporter","Second Division","General Assemblies Staff",1868,1924,8,31,NA,NA,NA,"English",4
"185",11620,10764,"Ernest Augustus  Wilson",0,"Verbatim Reporter","Second Division","General Assemblies Staff",1868,1925,1,11,NA,NA,NA,"English",4
"186",11621,9241,"Esther Ivers",1,"Shorthand Typist","Second Division","Pool",1893,1921,3,1,NA,NA,NA,"English",4
"187",11653,9340,"Ethel  Milburn",1,"Stenographer","Second Division","General Assemblies Staff",1887,1924,9,1,NA,NA,NA,"English",4
"188",11655,9341,"F. Milburn",1,"Shorthand Typist","Second Division","Duplicating & Multigraph Service",NA,1921,9,1,NA,NA,NA,"English",4
"189",11659,9342,"Dragolyoub Miletitch",0,"Press Reader","Second Division","Information Section",1879,1923,9,3,NA,NA,NA,"Yugoslav",5
"190",11660,9342,"Dragolyoub Miletitch",0,"Press Reader","Second Division","Information Section",1879,1924,9,1,NA,NA,NA,"Yugoslav",5
"191",11679,9352,"Emma Mino",1,"Messenger","Second Division","Duplicating & Multigraph Service",1910,1926,8,30,NA,NA,NA,"Italian",3
"192",11681,8958,"Ethel Mallinson",1,"Shorthand Typist","Second Division","Pool",NA,1920,11,20,NA,NA,NA,"English",4
"193",11693,10287,"Eva Elizabeth Snell",1,"Stenographer","Second Division","Pool",1892,1925,9,7,NA,NA,NA,"English",4
"194",11709,9362,"Emile Molino",0,"Motorcyclist","Third Division","Economic Conference",1902,1927,5,4,NA,NA,NA,"Italian",1
"195",11723,9366,"Lydia Monnet",1,"Cleaner","Third Division","Auxiliary Staff",1908,NA,NA,NA,NA,NA,NA,"Swiss",1
"196",11734,9370,"Montandon",1,"House Staff","Third Division","Auxiliary Staff",NA,NA,NA,NA,NA,NA,NA,"",1
"197",11750,9376,"Abel Constant Jules Georges Moreau",0,"Verbatim Reporter","Second Division","Commercial Conventions Conference",1883,1930,11,17,NA,NA,NA,"French",4
"198",11757,9379,"M. Morel",0,"Messenger","Second Division","Duplicating & Multigraph Service",NA,1923,9,1,NA,NA,NA,"",3
"199",11758,11322,"F. Buckland",1,"Shorthand Typist","Second Division","Pool",NA,1919,7,21,NA,NA,NA,"English",4
"200",11765,9384,"Maggie Morfey",1,"Shorthand Typist","Second Division","Duplicating & Multigraph Service",NA,1919,9,29,NA,NA,NA,"English",4
"201",11767,9386,"Louise Morin",1,"Secretary Shorthand-Typist","Second Division","Washington Labour Conference",NA,1919,10,6,NA,NA,NA,"French",4
