;pname;fname;begin_on_day;begin_on_month;begin_on_year;end_on_day;end_on_month;end_on_year;born_on_year
76;Evelyne Meylan;Member of Section;1;NA;1921;22;2;1921;NA
77;F. Geraldine Delf;Member of Section;14;8;1920;1;NA;NA;NA
78;Thomas Paterson;Head of Section;7;10;1937;1;NA;NA;1877
79;Elisabeth Delannoy;Member of Section;6;7;1931;1;NA;NA;1890
80;Mehemed Djevad;Member of Section;2;3;1921;20;4;1921;NA
81;Dr. Otto Olsen;Member of Section;1;10;1925;31;1;1940;NA
82;Massimo Pantaleoni;Member of Section;1;3;1925;31;12;1933;NA
83;Manual Juan Arocha;Member of Section;1;10;1924;1;NA;1925;1892
84;Manual Juan Arocha;Member of Section;1;NA;1925;18;4;1936;1892
85;Octave Auguste Arsandaux;Chief of Section;1;NA;1920;22;5;1926;1866
86;John Pawley Bate;Member of Section;1;NA;1919;1;NA;1919;NA
87;T. Lodge;Member of Section;1;9;1920;1;3;1922;NA
88;Dr. Otto Eichel;Chief of Section;6;3;1924;31;12;1924;NA
89;Henry Reginald Cummings;Member of Section;10;1;1920;1;NA;1931;1886
